question_id,document_id,question,answer,section

Q001,RSSB_M1_2023,"After a train accident, what must the driver do immediately?","You must immediately switch on the hazard warning indication where provided.

If you cannot do this, you must display a red light forward.

You must tell the signaller about the accident, and whether the electric traction current needs to be switched off, in the quickest way possible.",Section 2 — What to do after a train accident
Q002,RSSB_M1_2023,"When carrying out emergency protection alone after a train accident, in what order must the driver protect the lines?","If you are carrying out emergency protection alone, you must first protect other lines, then protect the line on which your train had been travelling, if necessary. You must decide which direction to protect first.",Section 2 — What to do after a train accident
Q003,RSSB_M1_2023,"What are the detonator placement requirements when protecting a double-track line during emergency protection?","You must place three detonators 20 metres (approximately 20 yards) apart on the other obstructed line 2 kilometres (1¼ miles) from the obstruction.",Section 3 — Emergency protection
Q004,RSSB_M1_2023,"What must a driver do if a train approaches before reaching the full protection distance of 2 kilometres?","If a train approaches before you reach the full protection distance of 2 kilometres (1¼ miles), you must place three detonators immediately and show a hand danger signal to the approaching train.",Section 3 — Emergency protection
Q005,RSSB_M1_2023,"What must a driver do when reaching a diverging junction before the full protection distance during emergency protection?","If you reach a diverging junction before reaching the full protection distance, you must:
• place three detonators before you reach the junction, and then
• decide the order in which you protect each line.",Section 3 — Emergency protection
Q006,RSSB_M1_2023,"Where must a train NOT be stopped or allowed to remain when there is a fire on board?","Where possible you must not stop the train or allow it to remain:
• in a tunnel
• on a viaduct, or
• at any other unsuitable place.",Section 4 — Fire on a train
Q007,RSSB_M1_2023,"What must the signaller do when alerted to a train accident?","If you are alerted to a train accident, you must:
• immediately protect each obstructed line or arrange for this to be done
• take any other action needed to prevent trains approaching the accident as shown in the appropriate Train Signalling Regulations
• make an emergency broadcast to trains in the area concerned, or arrange for this to be done
• if possible, tell the person involved that you have provided protection
• arrange for the emergency services to be called if they are needed.",Section 2 — What to do after a train accident
Q008,RSSB_M1_2023,"What must the guard do regarding passenger safety during an accidental train division?","You must:
• find out whether anybody might have fallen from the train
• secure gangway end doors, if you can do this
• make sure passengers are in a safe position on the train.",Section 5 — Accidental train division
Q009,RSSB_M1_2023,"What is the maximum speed permitted for an assisting train entering a section to remove the rear portion of a divided train?","You must:
• proceed at caution
• not exceed a speed of 25 mph (40 km/h).",Section 5 — Accidental train division
Q010,RSSB_M1_2023,"What must a driver do if a fire is out but the train cannot proceed?","If the fire is out but the train cannot proceed, you must:
• tell the signaller
• carry out any necessary protection.",Section 4 — Fire on a train
Q011,RSSB_M1_2023,"What must a driver do if they reach a tunnel entrance before completing the full protection distance during emergency protection?","If you reach a tunnel entrance before reaching the full protection distance, you must place three detonators at the tunnel entrance.

If the full protection distance is inside the tunnel, you must continue through the tunnel to the far end and place three detonators there.",Section 3 — Emergency protection
Q012,RSSB_M1_2023,"What must a driver request from the signaller before a controlled evacuation of a train can proceed?","You must tell the signaller that the train is to be evacuated and ask the signaller to provide signal protection on all lines that may be affected. If necessary, you must also ask for the electric traction current to be switched off.",Section 6 — Evacuating a train

Q013,FRA_PassTrainEP_1998,"What is the purpose of the federal requirements for passenger train emergency preparedness?","The purpose of this part is to reduce the magnitude and severity of casualties in railroad operations by ensuring that railroads involved in passenger train operations can effectively and efficiently manage passenger train emergencies.",§ 239.1 Purpose and scope
Q014,FRA_PassTrainEP_1998,"Which types of operations are excluded from the federal passenger train emergency preparedness requirements?","This part does not apply to:
(1) Rapid transit operations in an urban area that are not connected with the general railroad system of transportation;
(2) Operation of private cars, including business/office cars and circus trains; or
(3) Tourist, scenic, historic, or excursion operations, whether on or off the general railroad system.",§ 239.3 Application
Q015,FRA_PassTrainEP_1998,"What minimum emergency equipment must be carried on board each passenger car?","This equipment shall include, at a minimum:
(A) One fire extinguisher per passenger car;
(B) One pry bar per passenger car; and
(C) One flashlight per on-board crewmember.",§ 239.101(a)(6) On-board emergency equipment
Q016,FRA_PassTrainEP_1998,"What topics must be covered at minimum in the initial and periodic training for on-board personnel under an emergency preparedness plan?","As a minimum, the initial and periodic training shall include:
(A) Rail equipment familiarization;
(B) Situational awareness;
(C) Passenger evacuation;
(D) Coordination of functions; and
(E) ""Hands-on"" instruction concerning the location, function, and operation of on-board emergency equipment.",§ 239.101(a)(2) Employee training and qualification
Q017,FRA_PassTrainEP_1998,"How often must periodic training be provided to on-board and control center personnel under an emergency preparedness plan?","The railroad's emergency preparedness plan shall address individual employee responsibilities and provide for initial training, as well as periodic training at least once every two calendar years thereafter, on the applicable plan provisions.",§ 239.101(a)(2) Employee training and qualification
Q018,FRA_PassTrainEP_1998,"What must the on-board crewmember do first during a passenger train emergency regarding communication?","An on-board crewmember shall quickly and accurately assess the passenger train emergency situation and then notify the control center as soon as practicable by the quickest available means. As appropriate, an on-board crewmember shall inform the passengers about the nature of the emergency and indicate what corrective countermeasures are in progress.",§ 239.101(a)(1) Communication
Q019,FRA_PassTrainEP_1998,"How often must a railroad providing intercity passenger train service conduct full-scale emergency simulations?","Each railroad that provides intercity passenger train service, shall conduct a minimum of one full-scale emergency simulation during each calendar year, regardless of the number of route miles or passenger miles.",§ 239.103 Passenger train emergency simulations
Q020,FRA_PassTrainEP_1998,"Can activation of the emergency preparedness plan during an actual emergency count toward the required number of full-scale simulations?","Neither a tabletop exercise nor the activation of its emergency preparedness plan during an actual emergency situation may be credited toward the minimum number of full-scale emergency simulations required under paragraph (b) of this section.",§ 239.103 Passenger train emergency simulations
Q021,FRA_PassTrainEP_1998,"What minimum items must be included in a first-aid kit on intercity passenger trains?","Each railroad that provides intercity passenger train service shall also equip each passenger train that is in service with at least one first-aid kit accessible to crewmembers that contains, at a minimum:
(A) Two small gauze pads (at least 4x4 inches);
(B) Two large gauze pads (at least 8x10 inches);
(C) Two adhesive bandages;
(D) Two triangular bandages;
(E) One package of gauge roller bandage that is at least two inches wide;
(F) Wound cleaning agent, such as sealed moistened towelettes;
(G) One pair of scissors;
(H) One set of tweezers;
(I) One roll of adhesive tape;
(J) Two pairs of latex gloves; and
(K) One resuscitation mask.",§ 239.101(a)(6) On-board emergency equipment
Q022,FRA_PassTrainEP_1998,"What minimum aspects must a railroad's emergency preparedness plan address for emergencies occurring in tunnels?","The railroad's emergency preparedness plan shall address, as a minimum, availability of emergency lighting, access to emergency evacuation exits, benchwall readiness, ladders for detraining, effective radio or other communication between on-board crewmembers and the control center, and options for assistance from other trains.",§ 239.101(a)(4) Special circumstances
Q023,FRA_PassTrainEP_1998,"Within what timeframe must a debriefing and critique session be conducted after a passenger train emergency or full-scale simulation?","The debriefing and critique session shall be conducted within 60 days of the date of the passenger train emergency situation or full-scale simulation.",§ 239.105 Debriefing and critique
Q024,FRA_PassTrainEP_1998,"What are the minimum requirements a railroad must fulfill to maintain a liaison with emergency responders?","Each railroad to which this part applies shall establish and maintain a working relationship with the on-line emergency responders by, as a minimum:
(i) Developing and making available a training program for all on-line emergency responders who could reasonably be expected to respond during an emergency situation. The training program shall include an emphasis on access to railroad equipment, location of railroad facilities, and communications interface, and provide information to emergency responders who may not have the opportunity to participate in an emergency simulation. Each affected railroad shall either offer the training directly or provide the program information and materials to state training institutes, firefighter organizations, or police academies;
(ii) Inviting emergency responders to participate in emergency simulations; and
(iii) Distributing applicable portions of its current emergency preparedness plan at least once every three years, or whenever the railroad materially changes its plan in a manner that could reasonably be expected to affect the railroad's interface with the on-line emergency responders, whichever occurs earlier, including documentation concerning the railroad's equipment and the physical characteristics of its line, necessary maps, and the position titles and telephone numbers of relevant railroad officers to contact.",§ 239.101(a)(5) Liaison with emergency responders

Q025,FRA_LERT_2021,"What minimum size should the egress opening be to allow a body board to pass through during a locomotive rescue?","Previous research has indicated that the minimum size of the egress port should be 2 feet by 2 feet. This size allows enough room for a body board to pass through, with additional space for the rescue personnel.",1.4 Extrication Experiments
Q026,FRA_LERT_2021,"Why is the use of a K-12 saw strongly discouraged when cutting through a locomotive roof during rescue operations?","Its use is strongly discouraged because when cutting the insulation material inside the cab structure (see Figure 16), the amount of smoke generated would likely not be survivable for the cab occupants. Also, the many sparks produced by the K-12 may ignite any spilled fuel or other flammable materials that may have been released during the accident.",1.6 Locomotive Experiments
Q027,FRA_LERT_2021,"What criteria are used to evaluate rescue tool and technique combinations for locomotive cab access?","Rescue combinations were judged by the following criteria:

Speed of entry: The time required from when rescue personnel begin the operation until the time they gain access to the cab interior. A highly successful combination will take less than 5 minutes.
Number of personnel required: The number of individuals required to successfully and safely execute the operation. This includes individuals in supporting roles. The fewer number of personnel required the better.
Portability: A portable combination is one in which a small number of personnel can carry all of the required equipment by hand to the incident scene. Less portable combinations would require vehicular support.
Size of egress port: The size of the opening made in the structure. Previous research has indicated that the minimum size of the egress port should be 2 feet by 2 feet. This size allows enough room for a body board to pass through, with additional space for the rescue personnel.
Risk to victims and rescue personnel: Ideally, no further harm should come to the victims and at the very minimum, the method should be survivable.
Risk to rescue personnel: This criterion is more difficult to define because all rescue operations present risk and hazards to rescue personnel. However, any rescue combination that presents an obviously unacceptable level of risk to rescue personnel will not be considered as viable.",1.4 Extrication Experiments
Q028,FRA_LERT_2021,"Can a Halligan tool break through a locomotive windshield, and how long does it take?","The Halligan tool and axe could break through the windshield of the locomotive within 1 minute. This was surprising, as the commonly held belief among railroad professionals is that the FRA Type II locomotive windshields cannot be easily broken.",1.6 Locomotive Experiments
Q029,FRA_LERT_2021,"What are the three high-level learning objectives for locomotive emergency response training?","Locate and access incident scene: The first responders should be able to locate the incident scene and develop safe and effective strategies to access the incident.
Access interior of locomotive to rescue personnel: Once gaining access to the incident, the first responders should be able to extricate any trapped crew members from the locomotive.
Maintain scene safety: The first responders should be well-versed with the hazards present at the incident scene and be able to maintain the safety of themselves, any victims, and the general public.",1.5 Knowledge Base and Learning Requirements
Q030,FRA_LERT_2021,"What egress locations on the locomotive cab were considered viable during extrication testing?","In terms of egress points, the roof, back door (behind the engineer), side windows, and windshield were all considered viable egress locations.",1.4 Extrication Experiments
Q031,FRA_LERT_2021,"What hydraulic tools were supplied for the locomotive extrication experiments?","AMKUS Rescue Systems supplied hydraulic tools, along with personnel to operate them. The hydraulic tools included a cutter, spreader, push-pull ram, and associated peripherals such as a hydraulic pump, hoses, etc.",1.6 Locomotive Experiments
Q032,FRA_LERT_2021,"What challenges were found when using a reciprocating saw to cut through a locomotive roof?","The reciprocating saw, equipped with regular metal cutting blade, could cut through the roof material with relative ease. However, items such as compressed air pipes or support beams slowed down the process. These obstacles also presented potentials hazards, i.e., compressed air or live electricity, so caution must be exercised in cutting through the roof.",1.6 Locomotive Experiments
Q033,FRA_LERT_2021,"What electrical hazards must first responders identify and avoid at a locomotive accident scene?","Identify and avoid sources of potential electric shock hazards such as third rail, electrical catenaries, and electrical conduits.",1.5 Knowledge Base and Learning Requirements
Q034,FRA_LERT_2021,"What types of locomotives were used in the extrication experiments, and who donated them?","The locomotives were two older, 1960s GP-35s donated by Pan Am Railways, tested over 2 days at Pan Am's Waterville, Maine, yard.",1.4 Extrication Experiments
Q035,FRA_LERT_2021,"What was the finding regarding the use of a hydraulic cutter to remove locomotive doors?","The hydraulic cutter could cut through the door hinges very quickly and easily. However, the position of the rescuer to complete this operation may prove to be too hazardous for practical use.",1.6 Locomotive Experiments
Q036,FRA_LERT_2021,"What materials were included in the final training package developed for locomotive emergency response?","The final training materials developed include a 2½-hour PowerPoint presentation, entitled Locomotive Emergency Response Training, instructor's notes, and a test. The test can be utilized by fire departments for post-training evaluation if they desire. Three animations and 15 extrication videos were also developed for the PowerPoint presentation.",1.7 Training Materials

Q037,NR_ESG_2025,"Under what conditions are emergency responders allowed to access railway infrastructure without waiting for a Rail Incident Officer?","Considered where a RIO is unavailable or there is insufficient time for a RIO to attend.
NR Route Control will manage safety mitigation relating to train movements, traction power off (where required) and access.
The NR Route Control will provide a reference number when access is authorised.",Railway Infrastructure Safety & Access Processes — Co-ordinated Safety / Access without a RIO
Q038,NR_ESG_2025,"What circumstances justify emergency responders entering railway infrastructure before informing Network Rail Route Control?","Considered where there is insufficient time to inform NR Route Control due to:

an immediate risk of harm to an individual (in order to preserve of life), and/or
an immediate risk to the safe movement of trains.",Railway Infrastructure Safety & Access Processes — EXTREME CIRCUMSTANCES Safety/Access
Q039,NR_ESG_2025,"What is the minimum safe distance to maintain from Overhead Line Equipment when traction power is on?","When working on NR railway infrastructure, stay at least 2.75 metres from OLE when traction power is on.",Typical Overhead Line Equipment (OLE) Construction
Q040,NR_ESG_2025,"What voltage does the Overhead Line Equipment supply on Network Rail infrastructure?","The Overhead Line Equipment (OLE), shown in the diagram below, supplies electricity at 25,000 volts AC.",Typical Overhead Line Equipment (OLE) Construction
Q041,NR_ESG_2025,"What assumptions must emergency responders make about train movements and traction power when arriving at a railway incident?","Consider that TRAINS ARE RUNNING and TRACTION POWER IS ON until advised otherwise by the NR Route Control or RIO. Upon arrival of Emergency Service's Responders, the Emergency Service's Control should re-confirm the status of train running and traction power, as conditions might have changed. Unless EXTREME CIRCUMSTANCES apply, responders should NOT enter railway infrastructure until authorised and confirmed by NR Route Control or the RIO that trains have stopped, and traction power has been switched off (where required).",SAFETY FIRST
Q042,NR_ESG_2025,"What are the effects on the human body of contact with electrified OLE or third rail?","the heat passing through the human body causes severe damage to internal organs.
tissue burns beneath the skin cause scarring and black marks on the surface.
the muscles in the heart fail – stopping the flow of blood and oxygen.
lungs and respiratory system are paralysed.
the body's nervous system – which relies on tiny electrical impulses to function – is disrupted, causing paralysis and affects a person's ability to think, respond and remember.",The Effect of Touching OLE / Third Rail
Q043,NR_ESG_2025,"What role does the Rail Incident Officer assume when arriving on site at a railway incident?","Once on-site the NR RIO will assume command responsibility (from NR Route Control) for on-site safety management and authorisation of access to the railway infrastructure for all Emergency Services personnel. The RIO will work utilising JESIP principles.",Network Rail Response
Q044,NR_ESG_2025,"Where is the safest place to be if going trackside under the extreme circumstances process?","If going trackside under the EXTREME CIRCUMSTANCES process, the cess is normally the safest place to be. Stay out of the four-foot, six-foot and ten-foot areas as much as possible. If you have to walk on the railway, walk on ballast, and never on rails, sleepers or cable troughing.",Track Layout
Q045,NR_ESG_2025,"Why should emergency responders not rely on trains being cautioned as sufficient protection when accessing railway infrastructure?","Note that even if trains are being cautioned and are travelling at a reduced speed, it might not be possible to stop where the track is seen to be clear by the driver, and then someone moves onto the track/into the path of the train with insufficient time for the driver to stop. Responders should not access the railway infrastructure whilst trains are running at caution, unless the responders need to access due to EXTREME CIRCUMSTANCES that apply to the incident, and the risks posed should be considered.",Train Speeds, Noise and Air Movement
